# MEMORY_TILE_MODULE / LOCKS/MISC
# 4 register(s)
#
# Format: NAME @ OFFSET [WIDTH TYPE reset=VALUE] "DESCRIPTION"
#   BITS    FIELD_NAME                   TYPE  "DESCRIPTION"

Locks_Overflow_0 @ 0x00000C0420 [32 wtc] "Status bits for lock overflow, write to clear"
  31      Lock_Overflow_31             wtc  "Status bit for lock overflow"
  30      Lock_Overflow_30             wtc  "Status bit for lock overflow"
  29      Lock_Overflow_29             wtc  "Status bit for lock overflow"
  28      Lock_Overflow_28             wtc  "Status bit for lock overflow"
  27      Lock_Overflow_27             wtc  "Status bit for lock overflow"
  26      Lock_Overflow_26             wtc  "Status bit for lock overflow"
  25      Lock_Overflow_25             wtc  "Status bit for lock overflow"
  24      Lock_Overflow_24             wtc  "Status bit for lock overflow"
  23      Lock_Overflow_23             wtc  "Status bit for lock overflow"
  22      Lock_Overflow_22             wtc  "Status bit for lock overflow"
  21      Lock_Overflow_21             wtc  "Status bit for lock overflow"
  20      Lock_Overflow_20             wtc  "Status bit for lock overflow"
  19      Lock_Overflow_19             wtc  "Status bit for lock overflow"
  18      Lock_Overflow_18             wtc  "Status bit for lock overflow"
  17      Lock_Overflow_17             wtc  "Status bit for lock overflow"
  16      Lock_Overflow_16             wtc  "Status bit for lock overflow"
  15      Lock_Overflow_15             wtc  "Status bit for lock overflow"
  14      Lock_Overflow_14             wtc  "Status bit for lock overflow"
  13      Lock_Overflow_13             wtc  "Status bit for lock overflow"
  12      Lock_Overflow_12             wtc  "Status bit for lock overflow"
  11      Lock_Overflow_11             wtc  "Status bit for lock overflow"
  10      Lock_Overflow_10             wtc  "Status bit for lock overflow"
  9       Lock_Overflow_9              wtc  "Status bit for lock overflow"
  8       Lock_Overflow_8              wtc  "Status bit for lock overflow"
  7       Lock_Overflow_7              wtc  "Status bit for lock overflow"
  6       Lock_Overflow_6              wtc  "Status bit for lock overflow"
  5       Lock_Overflow_5              wtc  "Status bit for lock overflow"
  4       Lock_Overflow_4              wtc  "Status bit for lock overflow"
  3       Lock_Overflow_3              wtc  "Status bit for lock overflow"
