# PL_MODULE / PL
# 3 register(s)
#
# Format: NAME @ OFFSET [WIDTH TYPE reset=VALUE] "DESCRIPTION"
#   BITS    FIELD_NAME                   TYPE  "DESCRIPTION"

PL_Interface_Upsizer_Config @ 0x0000033000 [32 rw reset=0x000000DB] "PL Interface Upsizer Configuration"
  8       South4_South5_128_combine    rw  "Use South4 and South5 as a 128 bit output stream. Overrides bits 6 and 7"
  7       South5                       rw  "Select upsizing from 32 bit to 32 (0) or 64 (1) bits for South5"
  6       South4                       rw  "Select upsizing from 32 bit to 32 (0) or 64 (1) bits for South4"
  5       South2_South3_128_combine    rw  "Use South2 and South3 as a 128 bit output stream. Overrides bits 3 and 4"
  4       South3                       rw  "Select upsizing from 32 bit to 32 (0) or 64 (1) bits for South3"
  3       South2                       rw  "Select upsizing from 32 bit to 32 (0) or 64 (1) bits for South2"
  2       South0_South1_128_combine    rw  "Use South0 and South1 as a 128 bit output stream. Overrides bits 0 and 1"
  1       South1                       rw  "Select upsizing from 32 bit to 32 (0) or 64 (1) bits for South1"
  0       South0                       rw  "Select upsizing from 32 bit to 32 (0) or 64 (1) bits for South0"

PL_Interface_Downsizer_Config @ 0x0000033004 [32 rw reset=0x000006DB] "PL Interface Downsizer Configuration"
  11      South6_South7_128_combine    rw  "Use South6 and South7 as a 128 bit input stream. Overrides bits 9 and 10"
  10      South7                       rw  "Select downsizing from 32 (0) or 64 (1) bits to 32 bits for South7"
  9       South6                       rw  "Select downsizing from 32 (0) or 64 (1) bits to 32 bits for South6"
  8       South4_South5_128_combine    rw  "Use South4 and South5 as a 128 bit input stream. Overrides bits 6 and 7"
  7       South5                       rw  "Select downsizing from 32 (0) or 64 (1) bits to 32 bits for South5"
  6       South4                       rw  "Select downsizing from 32 (0) or 64 (1) bits to 32 bits for South4"
  5       South2_South3_128_combine    rw  "Use South2 and South3 as a 128 bit input stream. Overrides bits 3 and 4"
  4       South3                       rw  "Select downsizing from 32 (0) or 64 (1) bits to 32 bits for South3"
  3       South2                       rw  "Select downsizing from 32 (0) or 64 (1) bits to 32 bits for South2"
  2       South0_South1_128_combine    rw  "Use South0 and South1 as a 128 bit input stream. Overrides bits 0 and 1"
  1       South1                       rw  "Select downsizing from 32 (0) or 64 (1) bits to 32 bits for South1"
  0       South0                       rw  "Select downsizing from 32 (0) or 64 (1) bits to 32 bits for South0"

PL_Interface_Downsizer_Enable @ 0x0000033008 [32 rw] "PL Interface Downsizer Enable"
  7       South7                       rw  "Enable South7"
  6       South6                       rw  "Enable South6"
  5       South5                       rw  "Enable South5"
  4       South4                       rw  "Enable South4"
  3       South3                       rw  "Enable South3"
  2       South2                       rw  "Enable South2"
  1       South1                       rw  "Enable South1"
  0       South0                       rw  "Enable South0"
