# CORE_MODULE / CORE/CR
# 3 register(s)
#
# Format: NAME @ OFFSET [WIDTH TYPE reset=VALUE] "DESCRIPTION"
#   BITS    FIELD_NAME                   TYPE  "DESCRIPTION"

Core_CR1 @ 0x0000032D80 [32 rw reset=0x0FF41FC0] "Control register CR1"
  31      PackSize                     rw  "Size of pack operations"
  30      UPS_Mode                     rw  "Accumulator size of UPS operations"
  29      SRS_Mode                     rw  "Accumulator size of SRS operations"
  28      UnpackSize                   rw  "Size of unpack operations"
  27      Float_to_Bfloat_Huge_Mask    rw  "Conversion result cannot be represented and overflows into infinity"
  26      Float_to_Bfloat_Tiny_Mask    rw  "Conversion result underflows into zero"
  25      Float_to_Bfloat_Invalid_Mask rw  "Input floating point number is NaN"
  24      Float_to_Bfloat_Infinity_Mask rw  "Floating point output is infinity"
  23      Float_to_Bfloat_Zero_Mask    rw  "Floating point output is zero"
  22      Bfloat_to_Int_Huge_Mask      rw  "Result after rounding has magnitude greater than maximum integer number"
  21      Bfloat_to_Int_Tiny_Mask      rw  "Integer output after rounding is zero while floating point input is not zero"
  20      Bfloat_to_Int_Invalid_Mask   rw  "Input floating point number is NaN"
  18      Bfloat_to_Int_Zero_Mask      rw  "Integer output is zero"
  12      SCD_Enable                   rw  "Enable SCD port"
  11      MCD_Enable                   rw  "Enable MCD port"
  10      Float_MAC_Huge_Mask          rw  "Result after rounding has magnitude greater than maximum normalized number"
  9       Float_MAC_Tiny_Mask          rw  "Floating point output after rounding has a magnitude less than minimum normalized number and is not exact zero"
  8       Float_MAC_Invalid_Mask       rw  "Invalid floating point operation (NaN input also causes this)"
  7       Float_MAC_Infinity_Mask      rw  "Floating point output is infinity"
  6       Float_MAC_Zero_Mask          rw  "Floating point output is zero"
  5:2     Round_Mode                   rw  "Rounding mode"
  1:0     Saturation_Mode              rw  "Saturation mode"

Core_CR2 @ 0x0000032D90 [32 rw reset=0x000002AA] "Control register CR2"
  21:20   FP_Conv_Sat                  rw  "Saturation behavior for conversions from fp32 to smaller floating-point formats"
  19:18   FP8_Mode                     rw  "FP8 format"
  17:16   BF8_Mode                     rw  "BF8 format"
  9       SRS_Sign1                    rw  "Sign of dynamic SRS operations"
  8       SRS_Sign0                    rw  "Sign of dynamic SRS operations"
  7       UPS_Sign1                    rw  "Sign of dynamic UPS operations"
  6       UPS_Sign0                    rw  "Sign of dynamic UPS operations"
  5       Pack_Sign1                   rw  "Sign of dynamic Unpack operations"
  4       Pack_Sign0                   rw  "Sign of dynamic Unpack operations"
  3       Unpack_Sign1                 rw  "Sign of dynamic Pack operations"
  2       Unpack_Sign0                 rw  "Sign of dynamic Pack operations"
  1       Vadd_Sign1                   rw  "Sign of dynamic Vadd operations"
  0       Vadd_Sign0                   rw  "Sign of dynamic Vadd operations"

Core_CR3 @ 0x0000032DA0 [32 rw reset=0x04FF2165] "Control register CR3"
  26      Float_to_Bfp_Invalid_Mask    rw  "Conversion results in invalid output"
  23      Nlf_Reserved2_Mask           rw  "Reserved"
  22      Nlf_Reserved1_Mask           rw  "Reserved"
  21      Nlf_Inexact_Mask             rw  "Mask for non-linear functions inexact flag generation"
  20      Nlf_Huge_Mask                rw  "Mask for non-linear functions huge flag generation"
  19      Nlf_Tiny_Mask                rw  "Mask for non-linear functions tiny flag generation"
  18      Nlf_Invalid_Mask             rw  "Mask for non-linear functions invalid flag generation"
  17      Nlf_Infinity_Mask            rw  "Mask for non-linear functions infinity flag generation"
  16      Nlf_Zero_Mask                rw  "Mask for non-linear functions zero flag generation"
  13      Fix_to_Float_Inexact_Mask    rw  "Mask for fix to float inexact flag generation"
  8       Fix_to_Float_Zero_Mask       rw  "Mask for fix to float zero flag generation"
  6       Float_to_Fix_Huge_Mask       rw  "Mask for float to fix huge flag generation"
  5       Float_to_Fix_Inexact_Mask    rw  "Mask for float to fix inexact flag generation"
  2       Float_to_Fix_Invalid_Mask    rw  "Mask for float to fix invalid flag generation"
  0       Float_to_Fix_Zero_Mask       rw  "Mask for float to fix zero flag generation"
