# MEMORY_TILE_MODULE / DMA/MM2S_STATUS
# 6 register(s)
#
# Format: NAME @ OFFSET [WIDTH TYPE reset=VALUE] "DESCRIPTION"
#   BITS    FIELD_NAME                   TYPE  "DESCRIPTION"

DMA_MM2S_Status_0 @ 0x00000A0680 [32 mixed] "DMA MM2S Status Register Ch0"
  29:24   Cur_BD                       ro  "Current BD channel is operating on"
  22:20   Task_Queue_Size              ro  "Current number of tasks in queue"
  19      Channel_Running              ro  "0=channel data path idle AND queue empty; 1=channel operating on a transfer OR queue not empty"
  18      Task_Queue_Overflow          wtc  "Attempt to write to full task queue, channel 0. Sticky bit, write to clear"
  11      Error_BD_Invalid             ro  "Error: BD loaded by channel has valid bit not set."
  10      Error_BD_Unavailable         ro  "Error: Channel attempted to load an invalid BD ID"
  9       Error_DM_Access_to_Unavailable ro  "Error: Channel attempted memory request to unavailable address. Due to one of: tile isolation, address out of range, no neighbor interface"
  8       Error_Lock_Access_to_Unavailable ro  "Error: Channel attempted lock request to unavailable lock"
  5       Stalled_TCT                  ro  "Channel stalled due to task complete token backpressure"
  4       Stalled_Stream_Backpressure  ro  "Channel stalled on stream access"
  3       Stalled_Lock_Rel             ro  "Channel stalled while requesting lock release"
  2       Stalled_Lock_Acq             ro  "Channel stalled while requesting lock acquire"
  1:0     Status                       ro  "Channel control state machine status. Encoding is: 00=IDLE, 01=STARTING, 10=RUNNING"

DMA_MM2S_Status_1 @ 0x00000A0684 [32 mixed] "DMA MM2S Status Register Ch1"
  29:24   Cur_BD                       ro  "Current BD channel is operating on"
  22:20   Task_Queue_Size              ro  "Current number of tasks in queue"
  19      Channel_Running              ro  "0=channel data path idle AND queue empty; 1=channel operating on a transfer OR queue not empty"
  18      Task_Queue_Overflow          wtc  "Attempt to write to full task queue, channel 0. Sticky bit, write to clear"
  11      Error_BD_Invalid             ro  "Error: BD loaded by channel has valid bit not set."
  10      Error_BD_Unavailable         ro  "Error: Channel attempted to load an invalid BD ID"
  9       Error_DM_Access_to_Unavailable ro  "Error: Channel attempted memory request to unavailable address. Due to one of: tile isolation, address out of range, no neighbor interface"
  8       Error_Lock_Access_to_Unavailable ro  "Error: Channel attempted lock request to unavailable lock"
  5       Stalled_TCT                  ro  "Channel stalled due to task complete token backpressure"
  4       Stalled_Stream_Backpressure  ro  "Channel stalled on stream access"
  3       Stalled_Lock_Rel             ro  "Channel stalled while requesting lock release"
  2       Stalled_Lock_Acq             ro  "Channel stalled while requesting lock acquire"
  1:0     Status                       ro  "Channel control state machine status. Encoding is: 00=IDLE, 01=STARTING, 10=RUNNING"

DMA_MM2S_Status_2 @ 0x00000A0688 [32 mixed] "DMA MM2S Status Register Ch2"
  29:24   Cur_BD                       ro  "Current BD channel is operating on"
  22:20   Task_Queue_Size              ro  "Current number of tasks in queue"
  19      Channel_Running              ro  "0=channel data path idle AND queue empty; 1=channel operating on a transfer OR queue not empty"
  18      Task_Queue_Overflow          wtc  "Attempt to write to full task queue, channel 0. Sticky bit, write to clear"
  11      Error_BD_Invalid             ro  "Error: BD loaded by channel has valid bit not set."
  10      Error_BD_Unavailable         ro  "Error: Channel attempted to load an invalid BD ID"
  9       Error_DM_Access_to_Unavailable ro  "Error: Channel attempted memory request to unavailable address. Due to one of: tile isolation, address out of range, no neighbor interface"
  8       Error_Lock_Access_to_Unavailable ro  "Error: Channel attempted lock request to unavailable lock"
  5       Stalled_TCT                  ro  "Channel stalled due to task complete token backpressure"
  4       Stalled_Stream_Backpressure  ro  "Channel stalled on stream access"
  3       Stalled_Lock_Rel             ro  "Channel stalled while requesting lock release"
  2       Stalled_Lock_Acq             ro  "Channel stalled while requesting lock acquire"
  1:0     Status                       ro  "Channel control state machine status. Encoding is: 00=IDLE, 01=STARTING, 10=RUNNING"

DMA_MM2S_Status_3 @ 0x00000A068C [32 mixed] "DMA MM2S Status Register Ch3"
  29:24   Cur_BD                       ro  "Current BD channel is operating on"
  22:20   Task_Queue_Size              ro  "Current number of tasks in queue"
  19      Channel_Running              ro  "0=channel data path idle AND queue empty; 1=channel operating on a transfer OR queue not empty"
  18      Task_Queue_Overflow          wtc  "Attempt to write to full task queue, channel 0. Sticky bit, write to clear"
  11      Error_BD_Invalid             ro  "Error: BD loaded by channel has valid bit not set."
  10      Error_BD_Unavailable         ro  "Error: Channel attempted to load an invalid BD ID"
  9       Error_DM_Access_to_Unavailable ro  "Error: Channel attempted memory request to unavailable address. Due to one of: tile isolation, address out of range, no neighbor interface"
  8       Error_Lock_Access_to_Unavailable ro  "Error: Channel attempted lock request to unavailable lock"
  5       Stalled_TCT                  ro  "Channel stalled due to task complete token backpressure"
  4       Stalled_Stream_Backpressure  ro  "Channel stalled on stream access"
  3       Stalled_Lock_Rel             ro  "Channel stalled while requesting lock release"
  2       Stalled_Lock_Acq             ro  "Channel stalled while requesting lock acquire"
  1:0     Status                       ro  "Channel control state machine status. Encoding is: 00=IDLE, 01=STARTING, 10=RUNNING"

