# PL_MODULE / EVENT/GROUP_UC
# 4 register(s)
#
# Format: NAME @ OFFSET [WIDTH TYPE reset=VALUE] "DESCRIPTION"
#   BITS    FIELD_NAME                   TYPE  "DESCRIPTION"

Event_Group_uC_DMA_Activity_Enable @ 0x0000034520 [32 rw reset=0x000003FF] "Event enable for uC-DMA Activity group"
  9       DMA_MM2DM_remote_memory_starvation rw  "1=Event contributes to group event"
  8       DMA_MM2DM_local_memory_backpressure rw  "1=Event contributes to group event"
  7       DMA_DM2MM_remote_memory_backpressure rw  "1=Event contributes to group event"
  6       DMA_DM2MM_local_memory_starvation rw  "1=Event contributes to group event"
  5       DMA_MM2DM_finished_task      rw  "1=Event contributes to group event"
  4       DMA_DM2MM_finished_task      rw  "1=Event contributes to group event"
  3       DMA_MM2DM_finished_BD        rw  "1=Event contributes to group event"
  2       DMA_DM2MM_finished_BD        rw  "1=Event contributes to group event"
  1       DMA_MM2DM_start_task         rw  "1=Event contributes to group event"
  0       DMA_DM2MM_start_task         rw  "1=Event contributes to group event"

Event_Group_uC_Module_Errors_Enable @ 0x0000034524 [32 rw reset=0x00000FFF] "Event enable for uC-Module Errors group"
  11      Shared_DM_ECC_Error_2bit     rw  "1=Event contributes to group event"
  10      Shared_DM_ECC_Error_1bit     rw  "1=Event contributes to group event"
  9       Private_DM_ECC_Error_2bit    rw  "1=Event contributes to group event"
  8       Private_DM_ECC_Error_1bit    rw  "1=Event contributes to group event"
  7       PM_ECC_Error_2bit            rw  "1=Event contributes to group event"
  6       PM_ECC_Error_1bit            rw  "1=Event contributes to group event"
  5       DMA_MM2DM_Error              rw  "1=Event contributes to group event"
  4       DMA_DM2MM_Error              rw  "1=Event contributes to group event"
  3       AXI_MM_uC_DMA_Master_Slave_Error rw  "1=Event contributes to group event"
  2       AXI_MM_uC_Core_Master_Slave_Error rw  "1=Event contributes to group event"
  1       AXI_MM_uC_DMA_Master_Decode_Error rw  "1=Event contributes to group event"
  0       AXI_MM_uC_Core_Master_Decode_Error rw  "1=Event contributes to group event"

Event_Group_uC_Core_Streams_Enable @ 0x0000034528 [32 rw reset=0x000000FF] "Event enable for uC-Core Streams group"
  7       AXIS_Slave_TLAST             rw  "1=Event contributes to group event"
  6       AXIS_Slave_Stalled           rw  "1=Event contributes to group event"
  5       AXIS_Slave_Running           rw  "1=Event contributes to group event"
  4       AXIS_Slave_Idle              rw  "1=Event contributes to group event"
  3       AXIS_Master_TLAST            rw  "1=Event contributes to group event"
  2       AXIS_Master_Stalled          rw  "1=Event contributes to group event"
  1       AXIS_Master_Running          rw  "1=Event contributes to group event"
  0       AXIS_Master_Idle             rw  "1=Event contributes to group event"

Event_Group_uC_Core_Program_Flow_Enable @ 0x000003452C [32 rw reset=0x0001FFFF] "Event enable for uC-Core Program Flow group"
  16      uC_Core_Stream_Put           rw  "1=Event contributes to group event"
  15      uC_Core_Stream_Get           rw  "1=Event contributes to group event"
  14      uC_Core_Pipeline_Halted_Debug rw  "1=Event contributes to group event"
  13      uC_Core_Data_Write           rw  "1=Event contributes to group event"
  12      uC_Core_Data_Read            rw  "1=Event contributes to group event"
  11      uC_Core_Jump_Hit             rw  "1=Event contributes to group event"
  10      uC_Core_Jump_Taken           rw  "1=Event contributes to group event"
  9       uC_Core_Exception_Taken      rw  "1=Event contributes to group event"
  8       uC_Core_Reg_Write            rw  "1=Event contributes to group event"
  7       uC_Core_Timer4_Interrupt     rw  "1=Event contributes to group event"
  6       uC_Core_Timer3_Interrupt     rw  "1=Event contributes to group event"
  5       uC_Core_Timer2_Interrupt     rw  "1=Event contributes to group event"
  4       uC_Core_Timer1_Interrupt     rw  "1=Event contributes to group event"
  3       uC_Core_Debug_Wakeup         rw  "1=Event contributes to group event"
  2       uC_Core_Debug_Sys_Rst        rw  "1=Event contributes to group event"
  1       uC_Core_Interrupt            rw  "1=Event contributes to group event"
  0       uC_Core_Sleep                rw  "1=Event contributes to group event"
