# PL_MODULE / PL
# 3 register(s)
#
# Format: NAME @ OFFSET [WIDTH TYPE reset=VALUE] "DESCRIPTION"
#   BITS    FIELD_NAME                   TYPE  "DESCRIPTION"

PL_Interface_Upsizer_Config @ 0x0000030000 [32 rw reset=0x000000DB] "AIE to PL Interface Configuration (downsizing and/or upsizing)"
  8       South4_South5_128_combine    rw  "Select converting from 64-bit South4 to PL 128-bit output stream. South5 unavailable. Overrides bits 6 and 7"
  7       South5                       rw  "Select converting from 64-bit South5 to PL 32 (0) or 64 (1) bit"
  6       South4                       rw  "Select converting from 64-bit South4 to PL 32 (0) or 64 (1) bit"
  5       South2_South3_128_combine    rw  "Select converting from 64-bit South2 to PL 128-bit output stream. South3 unavailable. Overrides bits 3 and 4"
  4       South3                       rw  "Select converting from 64-bit South3 to PL 32 (0) or 64 (1) bit"
  3       South2                       rw  "Select converting from 64-bit South2 to PL 32 (0) or 64 (1) bit"
  2       South0_South1_128_combine    rw  "Select converting from 64-bit South0 to PL 128-bit output stream. South1 unavailable. Overrides bits 0 and 1"
  1       South1                       rw  "Select converting from 64-bit South1 to PL 32 (0) or 64 (1) bit"
  0       South0                       rw  "Select converting from 64-bit South0 to PL 32 (0) or 64 (1) bit"

PL_Interface_Downsizer_Config @ 0x0000030004 [32 rw reset=0x000006DB] "PL to AIE Interface Configuration (downsizing and/or upsizing)"
  11      South6_South7_128_combine    rw  "Select converting from PL 128-bit input stream to 64-bit South6. Makes South7 unavailable. Overrides bits 9 and 10"
  10      South7                       rw  "Select converting from PL 32 (0) or 64 (1) bits to 64 bits for South7"
  9       South6                       rw  "Select converting from PL 32 (0) or 64 (1) bits to 64 bits for South6"
  8       South4_South5_128_combine    rw  "Select converting from PL 128-bit input stream to 64-bit South4. Makes South5 unavailable. Overrides bits 6 and 7"
  7       South5                       rw  "Select converting from PL 32 (0) or 64 (1) bits to 64 bits for South5"
  6       South4                       rw  "Select converting from PL 32 (0) or 64 (1) bits to 64 bits for South4"
  5       South2_South3_128_combine    rw  "Select converting from PL 128-bit input stream to 64-bit South2. Makes South3 unavailable. Overrides bits 3 and 4"
  4       South3                       rw  "Select converting from PL 32 (0) or 64 (1) bits to 64 bits for South3"
  3       South2                       rw  "Select converting from PL 32 (0) or 64 (1) bits to 64 bits for South2"
  2       South0_South1_128_combine    rw  "Select converting from PL 128-bit input stream to 64-bit South0. Makes South1 unavailable. Overrides bits 0 and 1"
  1       South1                       rw  "Select converting from PL 32 (0) or 64 (1) bits to 64 bits for South1"
  0       South0                       rw  "Select converting from PL 32 (0) or 64 (1) bits to 64 bits for South0"

PL_Interface_Downsizer_Enable @ 0x0000030008 [32 rw] "PL Interface Downsizer Enable"
  7       South7                       rw  "Enable South7"
  6       South6                       rw  "Enable South6"
  5       South5                       rw  "Enable South5"
  4       South4                       rw  "Enable South4"
  3       South3                       rw  "Enable South3"
  2       South2                       rw  "Enable South2"
  1       South1                       rw  "Enable South1"
  0       South0                       rw  "Enable South0"
